id,source,label,text
1,adjudicated,3,10 Coolest Gadgets and Inventions That Will Blow Your Mind
2,adjudicated,5,iPhone 14 Lineup is NOT what you Expected.. (plot twist)
3,adjudicated,2,Doctor Answers Gut Questions From Twitter | Tech Support | WIRED
4,adjudicated,2,Battle Of The Tech - Super Bike Vs World Superbike
5,adjudicated,1,OnePlus 10R vs 10T | Unboxing &amp; Comparison
6,adjudicated,2,Cool Tech Under $50 - April!
7,adjudicated,5,18 DEADLY Tech Fails that need to be BANNED.
8,adjudicated,2,Paleontologist Answers Dinosaur Questions From Twitter | Tech Support | WIRED
9,adjudicated,2,Biden plans to forgive $300 billion in student loan debt: Report
10,adjudicated,1,More than 100 classified Trump docs recovered from Mar-a-Lago in January
11,adjudicated,1,Nightly News Full Broadcast - Aug. 19
12,adjudicated,2,Zee Hindustan Live News: Attack On Nitish Kumar Convoy | Bihar News | Tejashwi Yadav |Bihar Politics
13,adjudicated,2,Deadly car bomb detonates outside Moscow
14,adjudicated,1,Nightly News Full Broadcast - Aug. 17
15,adjudicated,4,Secret Hidden Oven Entrance to Epic GAMING FORT!
16,adjudicated,1,New PS4 &amp; PS5 Games This Week
17,adjudicated,4,GTA 5 : WHO KIDNAPPED TREVOR | GTA 5 BANGLA GAMEPLAY #77 | GAMING FUN TIPS
18,adjudicated,4,Craziest &quot;You Have to See It to Believe It&quot; Moments in Sports History
19,adjudicated,2,Top 100 Sports Plays of the Decade | 2010 - 2019 Best Moments
20,adjudicated,1,All Sports Golf Battle at The Masters
21,adjudicated,2,High IQ Moments in Sports
22,adjudicated,1,Newcastle United v. Manchester City | PREMIER LEAGUE HIGHLIGHTS | 8/21/2022 | NBC Sports
23,adjudicated,4,20 TIMES SPORTS FANS TOOK IT WAY TOO FAR
24,adjudicated,1,Reactions after Manchester United take down Liverpool | Premier League | NBC Sports
25,adjudicated,1,All Sports Golf Battle 2 | Dude Perfect
26,adjudicated,1,Manchester City v. Bournemouth | PREMIER LEAGUE HIGHLIGHTS | 8/13/2022 | NBC Sports
27,adjudicated,1,Manchester United v. Liverpool LIVE postgame Q&amp;A | Premier League | NBC Sports
28,adjudicated,1,Nintendo Switch Sports - Overview Trailer - Nintendo Switch
29,adjudicated,3,"Funniest Sports Moments of the Year 2021 | Crazy Fan Moments, Epic Fails &amp; Blunders"
30,adjudicated,3,Most Embarrassing Moments in Sports - Funniest Moments in Sports History
31,adjudicated,1,How To Make a McDonald&#39;s Cheeseburger
32,adjudicated,1,How to gain control of your free time | Laura Vanderkam
33,adjudicated,1,How to Deal with Difficult People | Jay Johnson | TEDxLivoniaCCLibrary
34,adjudicated,5,How To ACTUALLY Get FREE Robux In Roblox! *EASY*
35,adjudicated,4,GENIUS HACKS FOR ANY OCCASION || How to Write Faster! Smart Parenting TikTok Tricks by 123 GO!
36,adjudicated,2,Why Royal Quinoa is So Expensive | So Expensive Food | Business Insider
37,adjudicated,5,"6 Hilarious Business Ideas That Could Make You $1,000,000 in 2022 (#351)"
38,adjudicated,3,44 Businesses You Can Start During The 2022 Recession
39,adjudicated,2,How Covid Is Transforming the $380 Billion Luxury Fashion Industry | The Business of Fashion Show
40,adjudicated,3,How Liquidating Unwanted Goods Became A $644 Billion Business
41,adjudicated,2,FULL FACE OF FLAWLESS In-Depth Makeup Tutorial | NikkieTutorials
42,adjudicated,1,MySQL Tutorial for Beginners [Full Course]
43,adjudicated,5,you need to learn SQL RIGHT NOW!! (SQL Tutorial for Beginners)
44,adjudicated,1,HTML Tutorial for Beginners: HTML Crash Course
45,adjudicated,1,179 Minecraft Build Hacks!
46,adjudicated,2,Gordon Ramsay&#39;s Top Basic Cooking Skills | Ultimate Cookery Course FULL EPISODE
47,adjudicated,1,TypeScript Tutorial for Beginners [2022]
48,adjudicated,3,Tutorials That Went WRONG
49,adjudicated,2,The best and worst retail trading platforms: Finance professor
50,adjudicated,2,Bajaj Finance Decade&#39;s Top Wealth Creator | Wonderful Wednesday | Parimal Ade &amp; Aastha Khurana
51,adjudicated,1,"1. Introduction, Financial Terms and Concepts"
52,adjudicated,2,William Ackman: Everything You Need to Know About Finance and Investing in Under an Hour | Big Think
53,adjudicated,1,Money and Finance: Crash Course Economics #11
54,adjudicated,4,China&#39;s Economic CRASH: Why It&#39;s Coming &amp; What It Means
55,adjudicated,1,"Takeoff, Rich The Kid - Crypto (Official Video)"
56,adjudicated,5,FRIDAY IS A &quot;MASSIVE&quot; DAY FOR CRYPTO! FIND OUT WHY!
57,adjudicated,4,"Large BITCOIN Wallets are BUYING, what do they KNOW? Crypto News Today"
58,adjudicated,3,Bitcoin 4 Year Cycle Prediction - This May Change Your Mind On BTC
59,adjudicated,1,Crypto news today - Bitcoin price prediction (hindi/urdu)
60,adjudicated,4,Why did I order 3000 Rubik&#39;s cubes?
61,adjudicated,2,Can you open this cube? Ft. @ZHC
62,adjudicated,1,Magic trick to solve Rubik&#39;s Cube#shorts
63,adjudicated,4,Chess.com Buying Chess24? What About Lichess? Hikaru vs Magnus Every Week?
64,adjudicated,1,Ultimate Showdown || Carlsen vs Praggnanandhaa || FTX Crypto Cup (2022)
65,adjudicated,1,"Champions Chess Tour: FTX Crypto Cup | Day 2 | Commentary by David, Jovanka, Kaja &amp; Simon"
66,adjudicated,2,Learn to Play Chess Today in Less Than 10 Minutes
67,adjudicated,3,Apple September 2022 Event - 8 Things to Expect!
68,adjudicated,3,Apple urges users to update devices following security threats
69,adjudicated,3,This is the End of an Era for Apple.
70,adjudicated,3,iOS 16 Hands-On: Top 5 New Features!
71,adjudicated,3,What happened with me and Apple
72,adjudicated,3,iPhone 14 -  Apple Doesn&#39;t Care What You Think
73,adjudicated,2,The Weirdest GOOGLE Searches
74,adjudicated,2,Inside Google&#39;s Massive Headquarters
75,adjudicated,1,El Chombo - Dame Tu Cosita feat. Cutty Ranks (Official Video) [Ultra Music]
76,adjudicated,2,Fun Google Secrets
77,adjudicated,2,A Day In The Life Of Sundar Pichai (Google&#39;s CEO)
78,adjudicated,5,TERRIFYING Things Google Earth Doesn&#39;t Want You To See
79,adjudicated,3,Why Most Google Employees Quit After 1.1 Years (On Average)
80,adjudicated,5,"How Google Maps Sent 2 Teens Into a Death Trap, Only 1 Survived"
81,adjudicated,4,DESCRIBE YOURSELF! (The S.M.A.R.T way to DESCRIBE YOURSELF in a JOB INTERVIEW!)
82,adjudicated,2,BEST Answers to the 10 Most Asked Interview Questions | Interview Questions and Answers
83,adjudicated,3,Interview Questions and Answers! (How to PASS a JOB INTERVIEW!)
84,adjudicated,1,"How to Interview for a Job in American English, part 1/5"
85,adjudicated,2,Tell Me About Yourself - A Good Answer To This Interview Question
86,adjudicated,1,[SFM] An Interview with Foxy
87,adjudicated,1,"The Sleazy World Go Interview: Sleazy Flow, Scamming, Lil Baby, Offset &amp; More"
88,adjudicated,1,Mossbag Interview: Kickstarter for New Game - Titan Shell. And Silksong Speculation
89,adjudicated,3,"The Mystery Of The 2,000,000 Year Old Human Remains | Mystery Of Our Ancestors | Timeline"
90,adjudicated,2,What Happened Immediately After Hitler&#39;s Death
91,adjudicated,1,One Direction - History (Lyrics)
92,adjudicated,1,The Rise And Fall Of The Pirate Golden Age | Outlaws | Timeline
93,adjudicated,2,Why Alexander The Great Is The Single Most Important Man In History
94,adjudicated,3,5 Unexplained Historical Mysteries That Experts Cannot Solve | Weird History Moments
95,adjudicated,1,"America Unearthed: Lost Relics of the Bible (S2, E10) | Full Episode | History"
96,adjudicated,1,Ten Minute History - The Viking Age (Short Documentary)
97,adjudicated,1,Deadliest Battle in History: Stalingrad | Animated History
98,adjudicated,4,Most EVIL Kings in History!
99,adjudicated,3,HOW THE WORLD TURNED ON THIS DAY #royalfamily #history #popculture
100,adjudicated,2,The Part of History You&#39;ve Always Skipped | Neoslavery
101,adjudicated,1,What is Literature for?
102,adjudicated,2,&quot;What is Literature?&quot;: A Literary Guide for English Students and Teachers
103,adjudicated,1,LITERATURE - Goethe
104,adjudicated,2,A Day in the Life of a Literature PhD
105,adjudicated,1,The Literature Review
106,adjudicated,1,Grey Literature
107,adjudicated,1,Jacquees - B.E.D. (Lyrics) [HD/HQ]
108,adjudicated,5,Overnight in the World&#39;s Tallest Bed - Challenge
109,adjudicated,1,"Bed Bath &amp; Beyond is a &#39;JCPenney 2,&#39; says Jim Cramer"
110,adjudicated,1,Saint Punk - Empty Bed [Monstercat Lyric Video]
111,adjudicated,3,trolling salty roleplayers on gmod police rp
112,adjudicated,3,Trolling Neckbeards of 1942 Germany Gmod Roleplay
113,adjudicated,4,Full Body Trolling in VRChat! (Part 2)
114,adjudicated,5,I GIRL Voice Trolled the THIRSTIEST 13 Year Old..
115,adjudicated,4,Trolling The POLICE on Zoom!
116,adjudicated,2,Living on a clans compound base - Admin Trolling
117,adjudicated,4,TROLLING as a NEXTBOT in Da Hood Voice Chat
118,adjudicated,4,TROLLING KID COPS ON GTA 5 RP
119,adjudicated,4,Trolling SALTY ADMINS as BATMAN in GTA 5 RP
120,adjudicated,4,Trolling Children on Roblox as Karen
121,adjudicated,2,"ASMR Realistic Shoe Store (Soft Spoken, Personal Attention)"
122,adjudicated,3,"ASMR Personal Attention to Fall Asleep FAST (skincare, face tracing, pampering, guided relaxing)"
123,adjudicated,2,TOP 40 Songs of 2021 2022 \ Best English Songs  (Best Hit Music Playlist) on Spotify  @Sky Music PE
124,adjudicated,2,Music to put you in a better mood ~ lofi / relax / stress relief
125,adjudicated,3,speed up tiktok audios that are such a vibe
126,adjudicated,2,New Christian Worship Songs 2022 With Lyrics - Best Christian Gospel Songs Lyrics Playlist
127,adjudicated,2,Kids Try Prison Food from Around the World | Kids Try | HiHo Kids
128,adjudicated,3,How to Make Potato Chips in a Microwave - The Best Chips You&#39;ll Ever Taste - Food Wishes
129,adjudicated,5,"I Ate $1,000 Worth of Food In One Day."
130,adjudicated,5,Blood Red Jellyfish!! EXTREME Vietnam Street Food!!
131,adjudicated,1,KING CRAB
132,adjudicated,3,ASMR MUKBANG INDOMIE MI GORENG &amp; FRIED CHICKEN | COOKING &amp; EATING SOUNDS | Zach Choi ASMR
133,adjudicated,5,HILARIOUS WHO KNOWS ME BETTER (COUSIN VS. WIFE ) + HOMEMADE CHICKEN ENCHILADAS MUKBANG CHALLENGE!
134,adjudicated,2,Celebrating My 400 Pound Milestone.... McDonald&#39;s Mukbang
135,adjudicated,3,mukbang CRINGE compilation
136,adjudicated,4,CRISPY PATA SINIGANG MUKBANG | MUKBANG PHILIPPINES | FILIPINO FOOD MUKBANG
137,adjudicated,3,I wasn&#39;t allowed to post this Mukbang
138,adjudicated,4,KILLER PORK SINIGANG MUKBANG
139,adjudicated,1,"(Eng subs) Chhichhore Full Movie Reaction by Korean Movie Actress, Kim Sahee, Part 2"
140,adjudicated,2,The Big Lebowski | First Time Watching | Movie Reaction | Movie Review | Movie Commentary
141,adjudicated,4,Hyped and Crying for &quot;TOP GUN: MAVERICK&quot; (2022) Reaction &amp; Commentary
142,adjudicated,2,Vocal Coaches React To: Ave Maria | Dimash Kudaibergen
143,adjudicated,3,"Vikram Vedha Teaser Review &amp; Will The Remake Still Excite Audiences? | Hrithik Roshan, Saif Ali Khan"
144,adjudicated,2,"Stop Overthinking - Lofi hip hop mix ~ Stress Relief, Relaxing Music"
145,adjudicated,1,Architects - &quot;Animals&quot;
146,adjudicated,3,Rarest Animals in the World
147,adjudicated,3,40 Biggest Animals Ever Captured !
148,adjudicated,2,How to escape education&#39;s death valley | Sir Ken Robinson
149,adjudicated,1,Let&#39;s Talk About Education | Jayne Ellspermann | TEDxOcala
150,adjudicated,2,"Life Change Begins with Education, Not Inspiration | Jim Rohn Motivational Video"
151,adjudicated,1,RSA ANIMATE: Changing Education Paradigms
152,adjudicated,2,Every State Ranked by Education. (All 50 US States)
153,adjudicated,5,Why do these SCARY DOCTORS PERFORM RADIATION SURGERY ON A VILLAGER in Minecraft ? SCARY VILLAGER !
154,adjudicated,2,Teaching Preston How To LADDER CLUTCH in Minecraft Bedwars...
155,adjudicated,4,I found SECRET ROAD to OBUNGA PLANET in MINECRAFT animation! THE MAN FROM WINDOW Scooby
156,adjudicated,3,1.19.21 OUT NOW - New Cape &amp; Mob Vote?
157,adjudicated,5,SAT AUGUST GUIDE TO IMPROVE SCORE 200+ POINTS! ULTIMATE TIPS AND BEST PRACTICES!
158,adjudicated,3,How to get a perfect score on the SAT reading section: tips from a 1600 scorer
159,adjudicated,1,"SAT Math Test Prep Online Crash Course Algebra &amp; Geometry Study Guide Review, Functions,Youtube"
160,adjudicated,1,Davis High School student receives a perfect score on the SAT exam
161,adjudicated,2,How I got a 1500+ | how to self study for the SAT | best SAT prep books 2020
162,adjudicated,3,Solving the 46 Hardest SAT Math Problems from the Official Practice Tests
163,adjudicated,5,"100 Girls Vs 100 Boys For $500,000"
164,adjudicated,5,"Would You Swim With Sharks For $100,000?"
165,adjudicated,4,"Last To Take Hand Off Lamborghini, Keeps It"
166,adjudicated,4,"Going Through The Same Drive Thru 1,000 Times"
167,adjudicated,2,World&#39;s Most Dangerous Fruit
168,adjudicated,2,Surviving 24 Hours Straight In A Desert
169,adjudicated,3,I Went Back To 1st Grade For A Day
170,adjudicated,1,Cruise ship spots migrants lost at sea floating on dresser
171,adjudicated,3,Cooper: We&#39;ve entered the &#39;perfect phone call&#39; phase of the Mar-a-Lago saga
172,adjudicated,2,Chinese ambassador: Pelosi&#39;s Taiwan visit will escalate tensions
173,adjudicated,2,Trump and his allies flood airwaves with falsehoods after FBI search
174,adjudicated,2,See Crenshaw&#39;s reaction to Marjorie Taylor Greene calling to defund FBI
175,adjudicated,1,"Intro to Chemistry, Basic Concepts - Periodic Table, Elements, Metric System &amp; Unit Conversion"
176,adjudicated,2,Mathematicians vs. Physics Classes be like...
177,adjudicated,1,Biology: Cell Structure I Nucleus Medical Media
178,adjudicated,2,2021&#39;s Breakthroughs in Neuroscience and Other Biology
179,adjudicated,1,DNA Structure and Replication: Crash Course Biology #10
180,adjudicated,3,Carbon... SO SIMPLE: Crash Course Biology #1
181,adjudicated,1,Girls Aloud - Biology
182,adjudicated,1,Biology: Digestive System Video
183,adjudicated,1,Eukaryopolis - The City of Animal Cells: Crash Course Biology #4
184,adjudicated,1,The Biology Behind Bonsai Trees
185,adjudicated,3,What If Physics IS NOT Describing Reality?
186,adjudicated,3,The physics anomaly no one talks about: What&#39;s up with those neutrinos?
187,adjudicated,1,Modern Physics || Modern Physics Full Lecture Course
188,adjudicated,2,Amazing Physics Toys/Gadgets 1
189,adjudicated,4,I Met RICH KID In Real Life...
190,adjudicated,1,Asking a Theoretical Physicist About the Physics of Consciousness | Roger Penrose &amp; Jordan Peterson
191,adjudicated,3,15 Craziest Things That Defy the Laws of Physics
192,adjudicated,1,Computer Scientist Explains One Concept in 5 Levels of Difficulty | WIRED
193,adjudicated,2,My Regrets as a Computer Science Student
194,adjudicated,1,The Math Needed for Computer Science
195,adjudicated,1,Computer Science Terminology
196,adjudicated,1,Data Structures - Computer Science Course for Beginners
197,adjudicated,1,Splatoon 3 Direct - Nintendo Switch
198,adjudicated,1,Nintendo Switch OLED Kirby Edition
199,adjudicated,1,Nintendo Switch: Unboxing &amp; Review
200,adjudicated,2,Splatoon 3: Early Switch Multiplayer Hands-on - How Is Nintendo&#39;s Shooter Shaping Up?
201,adjudicated,1,OLED Nintendo Switch Unboxing!
202,adjudicated,2,Xbox Says Console Exclusives are Fading Away
203,adjudicated,1,Xbox &amp; Bethesda Games Showcase 2022
204,adjudicated,2,PlayStation 5 vs Xbox Series X: Which is better?
205,adjudicated,1,The Evolution of XBOX Startup Screens (2001-2019)
206,adjudicated,1,"New Game Pass Additions, Updates, and Events | This Week on Xbox"
207,adjudicated,1,"All Xbox, Nintendo and PlayStation Startups (Unused Brand ID)"
208,adjudicated,1,Xbox Series X - Unbox &amp; Setup
209,adjudicated,2,Reloading a Controller: Xbox vs. Playstation
210,adjudicated,4,"Xbox Just Got BIG News - Massive Game Pass Change, NEW Partnership Announced, &amp; MORE!"
211,adjudicated,4,HUGE MARVEL STUDIOS D23 REVEALS! New Phase 6 Films and Casting Rumors D23 Preview
212,adjudicated,4,Why Marvel Phase Four Sucks!
213,adjudicated,1,Official Trailer | She-Hulk: Attorney at Law | Disney+
214,adjudicated,1,Marvel Studios&#39; Thor: Love and Thunder | Official Trailer
215,adjudicated,1,I&#39;m a Hulk | Marvel Studios&#39; She-Hulk: Attorney at Law | Disney+
216,adjudicated,1,SPIDER-MAN #1 Trailer | Marvel Comics
217,adjudicated,2,8 Actors Before And After They Got The Call From Marvel
218,adjudicated,2,Marvel&#39;s Spider-Man PC - AMAZING SPIDER-MAN 2 MOVIE SUIT FREE ROAM GAMEPLAY! [MOD]
219,adjudicated,3,Bionic Avengers Bad On Defense? - Masters Cosmic Crucible Round 1 - MARVEL Strike Force - MSF
220,adjudicated,4,MARVEL COMIC-CON 2022 FULL ANNOUNCEMENT! (AUDIENCE REACTION)
221,adjudicated,4,Marvel Bloopers You Have to See!
222,adjudicated,4,Please Leave Whatever You Are Doing And Watch This Amazing Movie- Nigerian Movies
223,adjudicated,1,Conspiracy Theory - Action Movie full movie english Action Movies
224,adjudicated,3,12 SURPRISINGLY Good Movies Included with Prime Video
225,adjudicated,2,Military Tank Expert Rates 8 Tank Battles In Movies And TV | How Real Is It? | Insider
226,adjudicated,1,Mistake: Forgive Only Once | Exclusive English Action Movies
227,adjudicated,3,Data Science Career: (Is Becoming A Data Scientist ACTUALLY Worth It?)
228,adjudicated,1,Data Scientist Overview
229,adjudicated,3,real talk about my Data Scientist jobs + salary for entry level data science
230,adjudicated,1,Statistics for Data Science | Probability and Statistics | Statistics Tutorial | Ph.D. (Stanford)
231,adjudicated,2,Skills Needed to Become a Data Scientist
232,adjudicated,2,Data Science Full Course | Learn Data Science in 3 Hours | Data Science for Beginners | Edureka
233,adjudicated,2,Data science roadmap: What skills you should learn first?
234,adjudicated,1,Python Machine Learning Tutorial (Data Science)
235,adjudicated,2,How I Would Learn to be a Data Analyst
236,adjudicated,2,Work Week In My Life | Data Scientist at Spotify
237,adjudicated,1,Learn Unity - Beginner&#39;s Game Development Tutorial
238,adjudicated,5,Best Game in 24 Hours Wins $0.01 - Game Development Challenge
239,adjudicated,3,The Dark Side Of Game Development
240,adjudicated,2,A Day in the Life of a Game Developer with a Full Time Job
241,adjudicated,2,"Solo Development: Myths, Reality and Survival Strategies"
242,adjudicated,2,Machine Learning Full Course - Learn Machine Learning 10 Hours | Machine Learning Tutorial | Edureka
243,adjudicated,1,"But what is a neural network? | Chapter 1, Deep learning"
244,adjudicated,2,All Machine Learning Models Explained in 5 Minutes | Types of ML Models Basics
245,adjudicated,1,The Mathematics of Machine Learning
246,adjudicated,1,MarI/O - Machine Learning for Video Games
247,adjudicated,1,Machine Learning with Python | Machine Learning Tutorial for Beginners | Machine Learning Tutorial
248,adjudicated,2,Complete Machine Learning In 6 Hours| Krish Naik
249,adjudicated,2,How I Learnt Machine Learning In 6 Steps (3 months)
250,adjudicated,1,Machine Learning Interview Questions and Answers | Machine Learning Interview Preparation | Edureka
251,adjudicated,2,Apple Pay Is Killing the Physical Wallet After Only Eight Years | Tech News Briefing Podcast | WSJ
